Event Time,Facets Product ID,Effective Date,User ID,Response Time (Seconds),Retry Count,Question,Answer,Feedback Type,Feedback Reason Code,Feedback Additional Comments
2026-04-08T01:20:44.012Z,ML002166,,jtraha02,22,0,diagnostic slep study,"A diagnostic sleep study is not listed by name, but it most closely maps to Other Outpatient Non-Invasive Diagnostic Testing. Under this PPO plan, the in-network cost is $30 per visit in an office location or outpatient hospital setting, and out-of-network is 50% coinsurance, generally subject to the out-of-network deductible.",,,
2026-04-08T01:09:32.402Z,ML002166,,jtraha02,21,0,DME,"The plan covers Durable Medical Equipment (DME) under the Durable Medical Equipment > Medical Equipment and Supplies category. In-network, most standard DME is covered at 10% coinsurance and is not subject to the deductible; out-of-network, it is covered at 50% coinsurance after the deductible. [1][2]",,,
2026-04-08T00:51:37.983Z,ML002193,,maustr02,12,0,physical therapy copay,"Physical therapy does not have a copay under this plan. For participating providers, the cost share is No Charge after the deductible, and for non-participating providers it is 50% coinsurance after the deductible, depending on whether the service is done in an office or outpatient facility.[1][2]",,,
2026-04-08T00:51:36.176Z,ML002193,,maustr02,24,0,physical therapy,"Physical therapy is covered under this plan. For in-network providers, the member pays no charge after the deductible, and for out-of-network providers, the member pays 50% coinsurance after the deductible; outpatient facility-based therapy also has an additional non-participating provider maximum payable amount.",,,
2026-04-08T00:26:26.389Z,ML002175,,jtraha02,12,0,surrogacy pregnancy,"Surrogacy arrangement services are excluded under this plan. The plan document states that services for anyone in connection with a surrogacy arrangement are excluded, except for Covered Services provided to a Member who is a surrogate.[1]",,,
2026-04-08T00:22:13.803Z,ML002185,,iapolo01,23,0,emergency for eye service,"For an eye issue treated as an emergency, the plan covers emergency room services at the in-network cost share even if the hospital is out-of-network. The emergency room hospital facility is $200 per visit, and the emergency room physician is No Charge.",,,
2026-04-07T23:02:17.262Z,M0037513,,bcamac01,11,0,"If I'm traveling outside of CA, do I have coverage?","Yes. This PPO plan provides coverage when care is received outside of California. Outside California, services may be processed through the BlueCard Program, including care from participating and non-participating providers, and emergency services are covered anywhere in the world.[1][2]",,,
2026-04-07T23:02:15.220Z,M0037513,,bcamac01,20,0,OUT OF STATE,"This PPO plan includes out-of-state coverage through the BlueCard program. Covered services received outside California may be processed through Blue Cross/Blue Shield arrangements, and out-of-network providers outside California may bill above the allowed amount.",,,
2026-04-07T22:49:24.440Z,M0037557,,btimbe01,28,0,what are my pharmacy benefits for INN providers,"For in-network pharmacy benefits, this plan covers outpatient prescription drugs through participating pharmacies with $0 Tier 1, $35 Tier 2 retail / $70 mail, $55 Tier 3 retail / $110 mail, and 30% coinsurance for Tier 4 subject to per-prescription maximums. Contraceptive drugs/devices are No Charge in-network, and there is no pharmacy deductible.[1][2][3][4][5][6][7][8][9][10][11][12][13]",,,
2026-04-07T22:47:11.784Z,M0042336,,mswain02,12,0,What is my copayment or cost for seeing my Primary Care Physician (PCP)?,"For a Primary Care Physician (PCP) office visit, the cost is $70 per visit with an in-network HMO provider. This PCP visit is not subject to the medical deductible, and it does apply to the plan’s out-of-pocket maximum.",,,
2026-04-07T22:40:01.158Z,ML002168,,maustr02,33,0,45378 copay,"CPT 45378 is a colonoscopy, which can be billed as either a preventive screening or a diagnostic procedure, so the member cost depends on the purpose and place of service. Under this PPO plan, a preventive screening is No Charge in-network, while a diagnostic colonoscopy is generally 10% coinsurance in-network for outpatient professional/facility surgical services, with separate out-of-network cost sharing and possible balance billing.",,,
2026-04-07T22:37:46.865Z,M0037437,,tfoste02,22,0,ANY COVERAGE FOR GOING OUT OF U.S,"Yes. This PPO plan includes coverage for emergency services anywhere in the world, and it also includes BlueCard/Blue Shield Global Core information for care received outside California, including outside the U.S. The plan data does not show routine non-emergency international benefit cost shares in the standard benefit tables, but it does describe how out-of-area urgent and emergency care is handled.",,,
2026-04-07T22:27:26.615Z,M0042336,,mswain02,16,0,chemotherapy,"Chemotherapy is covered under this HMO plan, but the cost depends on where it is provided. In an office or outpatient hospital facility, the chemotherapy service itself is No Charge, while related facility or professional services may still apply depending on the setting.",,,
2026-04-07T22:26:07.828Z,M0042336,,mswain02,9,0,Vasectomy,"A vasectomy is covered under this plan at No Charge when provided in-network. Because the plan is an HMO, out-of-network services are generally not covered, and the member would be responsible for the full billed amount.",,,
2026-04-07T22:23:09.260Z,M0042336,,mswain02,12,0,Telehealth with specialist,"I couldn't find a specific telehealth specialist benefit in the current plan document. The plan does state that telehealth consultations are covered on the same basis as an in-person service, and specialist office visits are covered, so telehealth with a specialist would most closely follow the specialist office visit cost share: $90 per visit in-network.",,,
2026-04-07T22:19:39.286Z,M0042336,,awoote01,14,0,PHONE APP WITH SPECIALIST,"For this Trio HMO plan, a phone appointment with a specialist is not listed as a separate benefit. The closest mapped benefit is a Specialist Office Visit/Consultation, which has a $90 per visit copay in-network. I also found plan language stating that a referral is usually required to see a specialist, with an exception for Trio+ Specialist visits.",,,
2026-04-07T22:15:14.303Z,M0042154,,yrodri04,87,0,fertility benefits,"The plan includes coverage for diagnosis and treatment of the cause of infertility, fertility preservation services for iatrogenic infertility, and an assisted reproductive technology rider with some covered infertility services and some exclusions. Some ART services such as IVF, ICSI, and ZIFT are not covered, while other infertility-related services have specific cost shares and limits.",,,
2026-04-07T22:15:12.163Z,M0042336,,awoote01,19,0,IV CHEMOTHERAPY,"IV chemotherapy is covered under this HMO plan. The cost depends on where it is given: in a physician office, the professional chemotherapy service is No Charge; in a hospital outpatient facility, the outpatient chemotherapy facility service is No Charge. If the chemotherapy drug itself is provided through home infusion, that home infusion benefit is also No Charge.",,,
2026-04-07T22:15:06.058Z,M0042336,,akeeto01,14,0,inpatient hospital benefit,The inpatient hospital facility benefit is covered under this HMO plan at 40% coinsurance after the deductible for in-network care. Related inpatient physician/surgeon services are covered at No Charge and are not subject to the deductible.,,,
2026-04-07T22:14:21.635Z,M0042154,,yrodri04,15,0,embryo storage,"Embryo storage is covered under this plan’s assisted reproductive technology rider as Cryopreservation of embryos, oocytes, sperm, reproductive tissue (Retrieved from a Member). In-network, the cost share is 10% coinsurance; out-of-network, it is 50% coinsurance and subject to the out-of-network deductible. There is also a limit of 1 procedure per year up to 1 year.",,,
2026-04-07T22:12:48.742Z,M0042336,,akeeto01,20,0,coverage for iv chemotherapy,"IV chemotherapy is covered under this HMO plan. The cost depends on where it is given: in a professional office setting it is No Charge, and in an outpatient hospital facility it is also No Charge; if related surgery or inpatient hospital care is involved, different hospital benefits may apply.[1][2][3][4]",,,
2026-04-07T22:12:09.382Z,M0042336,,awoote01,22,0,VASECTOMY,"A vasectomy is covered under this plan at No Charge when performed by an in-network HMO provider. Because this is a Trio HMO plan, out-of-network services are generally not covered, and the member would be responsible for 100% of the billed amount if they use an out-of-network provider.",,,
2026-04-07T22:11:40.495Z,M0042336,,akeeto01,19,0,cost for a vasectomy,"A vasectomy is covered at No Charge when performed by an in-network HMO provider under this plan. Because this is an HMO plan, out-of-network providers are not covered, so the member would be responsible for 100% of the billed amount out of network.",,,
2026-04-07T22:10:24.628Z,M0042336,,awoote01,23,0,ENDOCRINOLOGIST VIRTUAL CARE,"I couldn't find a specific benefit for endocrinologist virtual care in the current plan document. The plan does show office visit benefits for specialists and states that telehealth consultations are covered on the same basis as in-person services, but it does not list a separate cost share for specialist virtual endocrinology visits.",,,
2026-04-07T22:10:15.911Z,M0042336,,akeeto01,12,0,telehealth for specialist visit,"This HMO plan does not list a separate telehealth specialist visit benefit. The plan does state that telehealth consultations are covered on the same basis and to the same extent as an in-person service, so a telehealth specialist visit would map to the Specialist Office Visit/Consultation benefit at $90 per visit in-network. Because this is an HMO, out-of-network providers are not covered except where specifically stated by the plan.",,,
2026-04-07T22:06:32.022Z,M0037451,,akeeto01,16,0,home care giver,"For home care giver services, the closest matching plan benefit is Home health care under Home Health Services. In-network home health care is covered at 35% coinsurance and is not subject to the deductible, with a limit of 100 visits per member per calendar year; out-of-network home health care is not covered.[1][2]",,,
2026-04-07T22:06:10.934Z,M0037451,,akeeto01,39,0,home health services for daily living,"Home health services are covered only when they are skilled home health services provided through a Participating home health care agency under a written treatment plan approved by a physician. Services that are primarily help with daily living, custodial care, domiciliary care, or private duty nursing are not covered under this plan.[1][2]",,,
2026-04-07T22:05:16.787Z,ML002184,,iapolo01,10,0,lactation or milk supply,"I couldn't find a specific benefit for lactation services, lactation counseling, or milk supply support in the current plan document. The plan does include breast pump purchase at no charge in-network, but it does not clearly list separate coverage for lactation consultations or milk supply services.",,,
2026-04-07T22:04:51.635Z,M0042140,,awoote01,14,0,HOME HEALTH AIDE,"Home health aide services are covered only as part of the Home Health Services benefit through a participating home health care agency. For this PPO plan, the in-network cost share is No Charge after the deductible applies, with a 100-visit per member per calendar year limit for home health care agency visits; non-participating provider coverage is Not Covered for home health care.",,,
2026-04-07T22:04:25.603Z,ML002184,,iapolo01,13,0,postpartum care services beenfits,"Postpartum care is covered under Pregnancy and Maternity Care on this PPO plan. In-network postpartum visits are covered at no charge, while out-of-network postpartum professional services are covered at 50% coinsurance after the deductible.[1]",,,
2026-04-07T22:03:29.130Z,M0037451,,mswain02,14,0,give me in network benefit coverage for an Xray for in office setting,"For an in-network X-ray in an office setting, the plan covers it under Basic Imaging Services at $90 per visit and it is not subject to the medical deductible. It does apply to the in-network out-of-pocket maximum.",,,
2026-04-07T22:03:11.025Z,M0042140,,awoote01,10,0,POSTPARTUM CHECKUPS,"Postpartum checkups are covered under Pregnancy and Maternity Care as Pre/Postnatal Visits. For this PPO plan, in-network postpartum visits are No Charge and not subject to the deductible; out-of-network postpartum visits are 50% coinsurance and subject to the deductible.",,,
2026-04-07T22:02:27.716Z,M0037451,,akeeto01,21,0,PET SCAN COST,"A PET scan falls under Advanced Imaging Services on this PPO plan. The cost is 35% coinsurance after the in-network deductible when done by an in-network outpatient radiology center or hospital outpatient department, and 50% coinsurance after the out-of-network deductible out of network, with possible balance billing and hospital outpatient maximums applying.",,,
2026-04-07T22:02:25.582Z,M0037451,,mswain02,24,0,cortisone injection in network,"An in-network cortisone injection is covered based on where it is given. If it is administered in a physician office, the in-network cost share is 35% coinsurance and it is not subject to the medical deductible; if it is given in an outpatient facility, the in-network cost share is also 35% coinsurance and it is not subject to the deductible.[1][2]",,,
2026-04-07T22:02:07.878Z,M0042140,,awoote01,11,0,POST PARTUM,"Could you clarify what aspect of postpartum you need? For example, are you asking about postnatal office visits, delivery-related inpatient hospital services, newborn nursery charges, breast pump coverage, or something else?",,,
2026-04-07T22:00:58.324Z,M0037451,,akeeto01,12,0,COVERAGE FOR POST NATAL VISITS,"Postnatal visits are covered under this plan. For in-network providers, the cost is No Charge and the service is not subject to the deductible. For out-of-network providers, the cost is 50% coinsurance after the deductible and balance billing may apply.",,,
2026-04-07T22:00:15.517Z,M0042140,,awoote01,13,0,HOME HEALTH CARE,"Home health care is covered under this PPO plan when provided by a Participating home health care agency, with No Charge after the deductible in-network. Out-of-network home health care is Not Covered. The plan also has a 100 visits per member per calendar year limit for home health care agency visits.",,,
2026-04-07T21:59:37.668Z,ML002175,,rbevan01,20,0,CHEMO THERAPY,"Chemotherapy is covered under this PPO plan, but the cost depends on where it is given. In an office setting, the professional chemotherapy service is 30% coinsurance in-network and 50% coinsurance out-of-network; in an outpatient hospital facility, the facility chemotherapy service is also 30% coinsurance in-network and 50% coinsurance out-of-network, with out-of-network maximum payable limits applying to the hospital facility claim.",,,
